iter	Passed	Remaining
399	81307	528501
400	81314	527021
401	81898	529282
402	81916	527886
403	81927	526444
404	81997	525391
405	82004	523937
406	82597	526226
407	82607	524798
408	82908	525221
409	83486	527389
410	84090	529709
411	84092	528232
412	84706	530596
413	84708	529124
414	84713	527672
415	84716	526217
416	84717	524761
417	84723	523340
418	84727	521913
419	84733	520503
420	85350	522847
421	85354	521430
422	85426	520437
423	85429	519022
424	85433	517628
425	85470	516436
426	86072	518649
427	86109	517462
428	86711	519664
429	86713	518264
430	86719	516896
431	86721	515509
432	87308	517598
433	87910	519765
434	88516	521941
435	88553	520757
436	88556	519382
437	89158	521516
438	89231	520552
439	89236	519193
440	89841	521326
441	89844	519958
442	89855	518644
443	89875	517391
444	90173	517740
445	90247	516795
446	90252	515468
447	90262	514175
448	90265	512842
449	90868	514921
450	91478	517028
451	91482	515702
452	92086	517758
453	92694	519821
454	92731	518684
455	92732	517350
456	92739	516054
457	92810	515121
458	93400	517061
459	93403	515747
460	93405	514439
461	94039	516603
462	94654	518659
463	95259	520641
464	95332	519714
465	95347	518477
466	95351	517182
467	95956	519150
468	95979	517959
469	96604	520018
470	96623	518814
471	96629	517542
472	97255	519587
473	97258	518301
474	97264	517037
475	97267	515761
476	97269	514489
477	97271	513218
478	97292	512055
479	97958	514282
480	97980	513121
481	98621	515206
482	98643	514049
483	98666	512905
484	98679	511710
485	98690	510509
486	98693	509276
487	98696	508046
488	98699	506817
489	99330	508817
490	99976	510875
491	100000	509756
492	100002	508533
493	100055	507569
494	100061	506370
495	100391	506814
496	100466	505973
497	100476	504803
498	100479	503605
499	100481	502406
500	100483	501214
501	100485	500024
502	100491	498861
503	100492	497679
504	100494	496504
505	100814	496900
506	100826	495780
507	100831	494630
508	100837	493488
509	101466	495397
510	101469	494242
511	101783	494604
512	101822	493630
513	101834	492532
514	101837	491392
515	102450	493192
516	103102	495170
517	103104	494025
518	103106	492886
519	103113	491772
520	103188	490986
521	103194	489876
522	103196	488751
523	103197	487629
524	103830	489486
525	103985	489089
526	104613	490909
527	104621	489817
528	104625	488712
529	104664	487778
530	104669	486681
531	104675	485601
532	105292	487347
533	105293	486244
534	105451	485863
535	105454	484775
536	106073	486516
537	106701	488287
538	106741	487365
539	106747	486294
540	106758	485248
541	107368	486922
542	107374	485854
543	107378	484781
544	108016	486571
545	108037	485575
546	108114	484834
547	108119	483775
548	108729	485420
549	109370	487194
550	109999	488910
551	110010	487873
552	110086	487128
553	110703	488776
554	110860	488386
555	110866	487334
556	110872	486285
557	110910	485384
558	111059	484965
559	111211	484562
560	111813	486118
561	112119	486383
562	112157	485484
563	112168	484473
564	112174	483442
565	112177	482402
566	112183	481379
567	112203	480418
568	112824	482033
569	112899	481306
570	112903	480286
571	112923	479330
572	112927	478316
573	113076	477915
574	113077	476893
575	113368	477091
576	113664	477311
577	114272	478838
578	114322	478021
579	114914	479472
580	114934	478530
581	115005	477805
582	115594	479229
583	115596	478222
584	115600	477222
585	115606	476235
586	115612	475251
587	115615	474257
588	115617	473266
589	115628	472311
590	115631	471331
591	115633	470348
592	115652	469437
593	116270	470952
594	116860	472352
595	117447	473730
596	117451	472755
597	117487	471915
598	117493	470954
599	117496	469986
600	117507	469050
601	117516	468113
602	118096	469448
603	118098	468483
604	118102	467528
605	118121	466639
606	118124	465688
607	118703	467005
608	118714	466084
609	118716	465135
610	118735	464254
611	118754	463377
612	118829	462716
613	118842	461822
614	118854	460921
615	118855	459987
616	119005	459628
617	119041	458828
618	119636	460184
619	119642	459271
620	119646	458357
621	119648	457435
622	119948	457652
623	119986	456872
624	120058	456224
625	120131	455578
626	120204	454934
627	120275	454290
628	120285	453412
629	120287	452509
630	120356	451863
631	120967	453245
632	120978	452378
633	121015	451614
634	121053	450852
635	121634	452112
636	122227	453413
637	122528	453624
638	122547	452793
639	122693	452433
640	122696	451545
641	122842	451188
642	123431	452455
643	123736	452674
644	124041	452897
645	124078	452138
646	124081	451259
647	124101	450443
648	124104	449568
649	124674	450747
650	124819	450386
651	125118	450578
652	125120	449704
653	125139	448895
654	125144	448034
655	125731	449259
656	126032	449457
657	126104	448841
658	126177	448228
659	126768	449450
660	126915	449098
661	126920	448246
662	127220	448436
663	127292	447825
664	127876	449011
665	128025	448665
666	128031	447820
667	128036	446977
668	128038	446126
669	128110	445519
670	128150	444801
671	128153	443962
672	128155	443116
673	128159	442281
674	128729	443401
675	128731	442560
676	129314	443718
677	129333	442937
678	129337	442108
679	129339	441276
680	129409	440675
681	129417	439867
682	129422	439051
683	130006	440198
684	130333	440469
685	130343	439672
686	130346	438853
687	130357	438060
688	130941	439195
689	130960	438432
690	130962	437616
691	131111	437292
692	131728	438525
693	131875	438193
694	131879	437385
695	131884	436584
696	131889	435783
697	131892	434982
698	131903	434205
699	131972	433622
700	131977	432834
701	131980	432037
702	132125	431710
703	132708	432811
704	132757	432168
705	132761	431380
706	132763	430590
707	132765	429801
708	132775	429039
709	133351	430106
710	133354	429322
711	133390	428649
712	133393	427869
713	133397	427094
714	133398	426316
715	133400	425541
716	133438	424880
717	134027	425977
718	134173	425659
719	134192	424941
720	134195	424177
721	134199	423416
722	134202	422653
723	134354	422362
724	134356	421600
725	134359	420846
726	134363	420093
727	134399	419443
728	134977	420484
729	134995	419781
730	135005	419053
731	135010	418309
732	135012	417561
733	135016	416820
734	135021	416087
735	135023	415342
736	135041	414653
737	135048	413928
738	135050	413193
739	135642	414260
740	135646	413529
741	135652	412806
742	135653	412071
743	135656	411346
744	135727	410826
745	135740	410132
746	135742	409407
747	135748	408698
748	135750	407975
749	135908	407725
750	136055	407442
751	136058	406727
752	136068	406036
753	136078	405348
754	136098	404689
755	136104	403991
756	136107	403289
757	136177	402783
758	136768	403818
759	136774	403123
760	136777	402425
761	136783	401734
762	136787	401040
763	136790	400344
764	136821	399733
765	136892	399241
766	136905	398579
767	136942	397988
768	137086	397711
769	137157	397220
770	137739	398212
771	137759	397574
772	137779	396940
773	137781	396255
774	138074	396408
775	138665	397411
776	138676	396754
777	138745	396263
778	138751	395593
779	138753	394912
780	138771	394281
781	138773	393607
782	138783	392954
783	139082	393121
784	139086	392454
785	139092	391795
786	139094	391125
787	139096	390459
788	139114	389839
789	139117	389177
790	139119	388514
791	139419	388685
792	139421	388024
793	139423	387366
794	139426	386711
795	140007	387658
796	140010	387006
797	140021	386375
798	140603	387318
799	140605	386665
800	140749	386403
801	141340	387365
802	141413	386905
803	142003	387860
804	142009	387217
805	142016	386579
806	142304	386707
807	142889	387641
808	142892	386991
809	143046	386755
810	143657	387750
811	143693	387194
812	143713	386595
813	143715	385948
814	143717	385303
815	144303	386223
816	144305	385580
817	144312	384950
818	144316	384316
819	144353	383768
820	144354	383129
821	144367	382520
822	144520	382286
823	145092	383155
824	145097	382530
825	145107	381916
826	145687	382803
827	146284	383730
828	146288	383102
829	146290	382470
830	146292	381838
831	146880	382736
832	147024	382476
833	147027	381847
834	147637	382796
835	147658	382215
836	147669	381611
837	148261	382508
838	148854	383401
839	148859	382782
840	148932	382336
841	148939	381723
842	148949	381119
843	149568	382072
844	149876	382230
845	149897	381653
846	149900	381033
847	149903	380415
848	149922	379839
849	149929	379233
850	149948	378660
851	149968	378089
852	149970	377475
853	149972	376864
854	150568	377742
855	150607	377223
856	151223	378146
857	151225	377534
858	151376	377296
859	151379	376688
860	151381	376079
861	151993	376985
862	152013	376421
863	152617	377304
864	152621	376700
865	152623	376096
866	152932	376244
867	153003	375811
868	153008	375214
869	153609	376079
870	153615	375485
871	153618	374886
872	153621	374287
873	153641	373732
874	154259	374631
875	154867	375500
876	154939	375070
877	155539	375917
878	155541	375316
879	155613	374887
880	155620	374300
881	156243	375197
882	156245	374599
883	156858	375466
884	156860	374869
885	156899	374362
886	157484	375158
887	157495	374583
888	157501	374000
889	157503	373406
890	158111	374249
891	158113	373659
892	158116	373070
893	158719	373895
894	158724	373313
895	158763	372810
896	159361	373619
897	159363	373031
898	159370	372455
899	159422	371985
900	160039	372833
901	160076	372329
902	160151	371914
903	160838	372917
904	160916	372508
905	161567	373423
906	162207	374311
907	162220	373749
908	162222	373165
909	162843	374002
910	162846	373421
911	162854	372850
912	162861	372280
913	162863	371700
914	163509	372587
915	163530	372050
916	163534	371475
917	164202	372406
918	164207	371833
919	164210	371257
920	164223	370706
921	164404	370534
922	164406	369959
923	164408	369384
924	164428	368853
925	165051	369671
926	165062	369120
927	165720	370014
928	165796	369607
929	165799	369036
930	165802	368470
931	165808	367910
932	165827	367379
933	165903	366976
934	166536	367805
935	167162	368614
936	167241	368215
937	167250	367665
938	167261	367120
939	167268	366566
940	167887	367355
941	168521	368170
942	168531	367624
943	169153	368411
944	169174	367887
945	169837	368758
946	170458	369537
947	170462	368975
948	171067	369715
949	171069	369150
950	171693	369927
951	171713	369400
952	171717	368840
953	171736	368315
954	172061	368446
955	172063	367884
956	172691	368660
957	172847	368427
958	172850	367871
959	172931	367480
960	172951	366960
961	173106	366726
962	173109	366172
963	173112	365618
964	173734	366372
965	174050	366478
966	174680	367243
967	174682	366688
968	174684	366133
969	175319	366906
970	175330	366370
971	175334	365821
972	175338	365274
973	175965	366023
974	175968	365472
975	176058	365104
976	176664	365805
977	176702	365328
978	177314	366039
979	177351	365561
980	177962	366264
981	178573	366966
982	178728	366730
983	179329	367406
984	179400	366997
985	179712	367079
986	180313	367751
987	180332	367236
988	180975	367990
989	181571	368644
990	181572	368092
991	181576	367545
992	181732	367307
993	182339	367980
994	182342	367433
995	182646	367493
996	182648	366945
997	182651	366400
998	182689	365927
999	183283	366567
1000	183575	366601
1001	183594	366089
1002	183744	365840
1003	183783	365370
1004	183933	365122
1005	184528	365754
1006	185123	366386
1007	185713	367005
1008	185715	366462
1009	185871	366222
1010	186018	365964
1011	186019	365422
1012	186597	366011
1013	186893	366046
1014	187188	366077
1015	187776	366681
1016	187778	366140
1017	188370	366749
1018	188482	366421
1019	188627	366159
1020	188646	365652
1021	188714	365241
1022	188734	364739
1023	189328	365344
1024	189618	365362
1025	189625	364834
1026	189626	364297
1027	189628	363762
1028	189698	363357
1029	190283	363940
1030	190865	364514
1031	191470	365130
1032	191474	364598
1033	191772	364626
1034	192372	365229
1035	192374	364694
1036	192976	365296
1037	193645	366023
1038	193649	365492
1039	194288	366159
1040	194982	366926
1041	195200	366797
1042	195287	366421
1043	195973	367169
1044	196140	366942
1045	196308	366717
1046	196312	366187
1047	196925	366791
1048	197535	367389
1049	197538	366856
1050	197558	366357
1051	197876	366409
1052	197917	365949
1053	197930	365438
1054	198252	365499
1055	198896	366149
1056	198899	365620
1057	199517	366222
1058	200138	366826
1059	200158	366326
1060	200471	366365
1061	201170	367107
1062	201337	366878
1063	201418	366490
1064	201443	366002
1065	202108	366676
1066	202111	366149
1067	202779	366825
1068	203103	366877
1069	203107	366353
1070	203110	365826
1071	203773	366487
1072	204495	367253
1073	204580	366874
1074	205306	367641
1075	205317	367128
1076	205322	366607
1077	206014	367309
1078	206017	366783
1079	206021	366259
1080	206728	366986
1081	207433	367706
1082	208135	368417
1083	208243	368075
1084	208251	367558
1085	208342	367190
1086	209063	367928
1087	209434	368049
1088	210173	368816
1089	210175	368289
1090	210179	367766
1091	210927	368543
1092	210939	368034
1093	211665	368770
1094	212005	368830
1095	212677	369469
1096	212680	368943
1097	212683	368418
1098	213356	369054
1099	213361	368532
1100	213440	368140
1101	214122	368788
1102	214805	369434
