iter	Logloss
0	0.6878913211
1	0.683488099
2	0.6822252738
3	0.6790324257
4	0.6761226377
5	0.6722290982
6	0.6692426269
7	0.6672871722
8	0.6646413799
9	0.6631182024
10	0.6604186746
11	0.6585414971
12	0.654370429
13	0.6505741488
14	0.6491373621
15	0.6478427942
16	0.6451051759
17	0.6442519712
18	0.6418996096
19	0.6393918458
20	0.6378135425
21	0.6366768944
22	0.6359807868
23	0.6350429156
24	0.6328797248
25	0.6321879007
26	0.6312356617
27	0.6306639161
28	0.6289139803
29	0.6281764872
30	0.6276379771
31	0.6264157871
32	0.625460756
33	0.624845127
34	0.6232859637
35	0.6216030997
36	0.6203867948
37	0.6173375517
38	0.6168513794
39	0.614340312
40	0.6138422851
41	0.613125642
42	0.6120798199
43	0.6116967492
44	0.6111528631
45	0.6106897217
46	0.6100566908
47	0.6095731645
48	0.6086113695
49	0.6064349855
50	0.6061370378
51	0.6056428765
52	0.6053118771
53	0.6049586174
54	0.6042946979
55	0.6038098059
56	0.6034571998
57	0.6025527785
58	0.6022018159
59	0.6019504419
60	0.601028369
61	0.5993504415
62	0.5973856877
63	0.5954073037
64	0.5952327843
65	0.5948963752
66	0.5943589956
67	0.5938399025
68	0.5933041212
69	0.5930712382
70	0.5928789854
71	0.5925981376
72	0.5916818776
73	0.5914510412
74	0.5910353928
75	0.5907626629
76	0.5902125803
77	0.5900147459
78	0.5893454292
79	0.5891187574
80	0.5877327707
81	0.5870924524
82	0.5869984097
83	0.5869077889
84	0.5866625014
85	0.5860996026
86	0.5859131562
87	0.585566715
88	0.5854042769
89	0.5852214511
90	0.5849969714
91	0.5843232052
92	0.5840214639
93	0.5838004698
94	0.5835411714
95	0.5833268892
96	0.5827734071
97	0.5826632709
98	0.5824984802
99	0.5818808955
100	0.5817375287
101	0.5813800555
102	0.5809409499
103	0.5807782089
104	0.5805885313
105	0.5804401534
106	0.5802279369
107	0.5799811182
108	0.5799042815
109	0.5797146168
110	0.5795573709
111	0.5789262132
112	0.5788570707
113	0.5786618828
114	0.5784938064
115	0.5783391525
116	0.5782014059
117	0.5777847071
118	0.5775772274
119	0.5774571513
120	0.5769444829
121	0.5768000192
122	0.5763913503
123	0.5763022378
124	0.57546468
125	0.5751313214
126	0.5749465
127	0.5748576363
128	0.5746395848
129	0.5745863301
130	0.5744722898
131	0.574429306
132	0.5743410869
133	0.5742305795
134	0.5740927383
135	0.5740175624
136	0.5738766369
137	0.5737934997
138	0.5737199461
139	0.5730658592
140	0.5729766046
141	0.5729043528
142	0.5717400061
143	0.5716461945
144	0.570500621
145	0.5704815236
146	0.5703753862
147	0.5702530781
148	0.5700738881
149	0.5697701948
150	0.5693493342
151	0.5692356961
152	0.5691414294
153	0.5691374235
154	0.5690343499
155	0.5689967218
156	0.5687784321
157	0.5685336138
158	0.5684513655
159	0.5683181021
160	0.5682467348
161	0.5679532875
162	0.5678460414
163	0.5676838271
164	0.5676060794
165	0.5673770949
166	0.567281438
167	0.5672428195
168	0.5668664458
169	0.5667257075
170	0.5666381021
171	0.5665098861
172	0.5664718761
173	0.566414182
174	0.566266383
175	0.5661358647
176	0.5660899367
177	0.5659796776
178	0.5658993114
179	0.5657732876
180	0.565742938
181	0.5656749805
182	0.565630209
183	0.5655877098
184	0.5654505878
185	0.5653178833
186	0.5652583801
187	0.5648834372
188	0.5648294464
189	0.5647808873
190	0.564714388
191	0.5646849503
192	0.564627695
193	0.5645451812
194	0.5644591541
195	0.5643633667
196	0.5642878344
197	0.5642430429
198	0.5641551588
199	0.5641125048
200	0.5631821539
201	0.5631367345
202	0.5630782815
203	0.5630064089
204	0.5629316311
205	0.5628491272
206	0.5627034803
207	0.5626403888
208	0.5624465083
209	0.5623654911
210	0.5620993409
211	0.5620335161
212	0.5617683445
213	0.5617189877
214	0.5616874952
215	0.5616760123
216	0.5615787747
217	0.5615452912
218	0.5615207716
219	0.561221531
220	0.5611890506
221	0.5607472084
222	0.560746927
223	0.5606857118
224	0.5605918216
225	0.5598057625
226	0.5595430115
227	0.5595284017
228	0.559473475
229	0.5594381247
230	0.5593787496
231	0.5589380203
232	0.5588268636
233	0.5587763456
234	0.5587480816
235	0.5586987921
236	0.558452617
237	0.5583269695
238	0.5582529539
239	0.5582521174
240	0.5582448157
241	0.5581852459
242	0.558098261
243	0.5580323303
244	0.5579743129
245	0.5579693274
246	0.5579690902
247	0.5579232601
248	0.55790464
249	0.557904444
250	0.5577663911
251	0.5577656966
252	0.5572393683
253	0.557165205
254	0.5571129211
255	0.557006502
256	0.5569377223
257	0.5568634471
258	0.5568240061
259	0.5568199282
260	0.5567634477
261	0.5567529533
262	0.5564774805
263	0.556459184
264	0.5564087382
265	0.5563999591
266	0.5563814813
267	0.5563750735
268	0.5562214719
269	0.5562046946
270	0.5561819491
271	0.5561193866
272	0.5560906234
273	0.5560568211
274	0.5560272842
275	0.5559820871
276	0.5558953065
277	0.5558353437
278	0.5558352614
279	0.5558330933
280	0.5557903611
281	0.5557533048
282	0.5557183699
283	0.5556876752
284	0.5556573117
285	0.5555919437
286	0.5555696565
287	0.555569609
288	0.5555164346
289	0.5554724872
290	0.5554468204
291	0.5554141645
292	0.5552638723
293	0.5552088637
294	0.5551624886
295	0.5551237127
296	0.555086054
297	0.5550738273
298	0.5550737956
299	0.5550135153
